"id_Filme"	"Titulo"	"director"	"cast"	"country"	"data_lancamento"	"Classificacao_indicativa"	"Duracao_min"	"Sinopse"	"listed_in"
"11"	"Jeans"	"S. Shankar"	"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar"	"India"	"1998"	"TV-14"	"166 min"	"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."	"Comedias, Filmes Internacionais, Romantic Movies"
"12"	"Minsara Kanavu"	"Rajiv Menon"	"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad"		"1997"	"TV-PG"	"147 min"	"A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her."	"Comedias, Filmes Internacionais, Musicais"
"13"	"Grown Ups"	"Dennis Dugan"	"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten"	"United States"	"2010"	"PG-13"	"103 min"	"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."	"Comedias"
"14"	"Dark Skies"	"Scott Stewart"	"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan"	"United States"	"2013"	"PG-13"	"97 min"	"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."	"Horror, Sci-Fi & Fantasia"
"15"	"Paranoia"	"Robert Luketic"	"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan"	"United States, India, France"	"2013"	"PG-13"	"106 min"	"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."	"Thrillers"
"16"	"Ankahi Kahaniya"	"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"	"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh"		"2021"	"TV-14"	"111 min"	"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."	"Dramas, Filmes Independentes, Filmes Internacionais"
"17"	"The Father Who Moves Mountains"	"Daniel Sandu"	"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota"		"2021"	"TV-MA"	"110 min"	"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."	"Dramas, Filmes Internacionais, Thrillers"
"18"	"The Stronghold"	"Cédric Jimenez"	"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot"		"2021"	"TV-MA"	"105 min"	"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."	"Ação e Aventura, Dramas, Filmes Internacionais"
"19"	"Birth of the Dragon"	"George Nolfi"	"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia"	"China, Canada, United States"	"2017"	"PG-13"	"96 min"	"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."	"Ação e Aventura, Dramas"
"20"	"Jaws"	"Steven Spielberg"	"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman"	"United States"	"1975"	"PG"	"124 min"	"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."	"Ação e Aventura, Filmes Classicos, Dramas"
"21"	"Jaws 2"	"Jeannot Szwarc"	"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French"	"United States"	"1978"	"PG"	"116 min"	"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."	"Dramas, Horror, Thrillers"
"22"	"Jaws 3"	"Joe Alves"	"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer"	"United States"	"1983"	"PG"	"98 min"	"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."	"Ação e Aventura, Horror, Thrillers"
"23"	"Jaws: The Revenge"	"Joseph Sargent"	"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield"	"United States"	"1987"	"PG-13"	"91 min"	"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."	"Ação e Aventura, Horror, Thrillers"
"24"	"My Heroes Were Cowboys"	"Tyler Greco"			"2021"	"PG"	"23 min"	"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."	"Documentarios"
"25"	"Safe House"	"Daniel Espinosa"	"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman"	"South Africa, United States, Japan"	"2012"	"R"	"115 min"	"Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location."	"Ação e Aventura"
"26"	"Training Day"	"Antoine Fuqua"	"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes"	"United States"	"2001"	"R"	"122 min"	"A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice."	"Dramas, Thrillers"
"27"	"InuYasha the Movie 2: The Castle Beyond the Looking Glass"	"Toshiya Shinohara"	"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami"	"Japan"	"2002"	"TV-14"	"99 min"	"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."	"Ação e Aventura, Animações, Filmes Internacionais"
"28"	"InuYasha the Movie 3: Swords of an Honorable Ruler"	"Toshiya Shinohara"	"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue"	"Japan"	"2003"	"TV-14"	"99 min"	"The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened."	"Ação e Aventura, Animações, Filmes Internacionais"
"29"	"InuYasha the Movie 4: Fire on the Mystic Island"	"Toshiya Shinohara"	"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna"	"Japan"	"2004"	"TV-PG"	"88 min"	"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."	"Ação e Aventura, Animações, Filmes Internacionais"
"30"	"InuYasha the Movie: Affections Touching Across Time"	"Toshiya Shinohara"	"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki"	"Japan"	"2001"	"TV-PG"	"100 min"	"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."	"Ação e Aventura, Animações, Filmes Internacionais"
"31"	"Naruto Shippuden the Movie: Blood Prison"	"Masahiko Murata"	"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki"	"Japan"	"2011"	"TV-14"	"102 min"	"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."	"Ação e Aventura, Animações, Filmes Internacionais"
"32"	"Naruto Shippûden the Movie: Bonds"	"Hajime Kamegaki"	"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada"	"Japan"	"2008"	"TV-PG"	"93 min"	"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."	"Ação e Aventura, Animações, Filmes Internacionais"
"33"	"Naruto Shippûden the Movie: The Will of Fire"	"Masahiko Murata"	"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura"	"Japan"	"2009"	"TV-PG"	"96 min"	"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."	"Ação e Aventura, Animações, Filmes Internacionais"
"34"	"Naruto Shippuden: The Movie"	"Hajime Kamegaki"	"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato"	"Japan"	"2007"	"TV-PG"	"95 min"	"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."	"Ação e Aventura, Animações, Filmes Internacionais"
"35"	"Naruto Shippuden: The Movie: The Lost Tower"	"Masahiko Murata"	"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa"	"Japan"	"2010"	"TV-14"	"85 min"	"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."	"Ação e Aventura, Animações, Filmes Internacionais"
"36"	"Naruto the Movie 2: Legend of the Stone of Gelel"	"Hirotsugu Kawasaki"	"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda"	"Japan"	"2005"	"TV-PG"	"97 min"	"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."	"Ação e Aventura, Animações, Filmes Internacionais"
"37"	"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom"	"Toshiyuki Tsuru"	"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa"	"Japan"	"2006"	"TV-PG"	"95 min"	"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."	"Ação e Aventura, Animações, Filmes Internacionais"
"38"	"Naruto the Movie: Ninja Clash in the Land of Snow"	"Tensai Okamura"	"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa"	"Japan"	"2004"	"TV-PG"	"83 min"	"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."	"Ação e Aventura, Animações, Filmes Internacionais"
"39"	"Nightbooks"	"David Yarovesky"	"Winslow Fegley, Lidya Jewett, Krysten Ritter"		"2021"	"TV-PG"	"103 min"	"Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever."	"Filmes familiares e infantis"
"40"	"Schumacher"	"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech"	"Michael Schumacher"		"2021"	"TV-14"	"113 min"	"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."	"Documentarios, Filmes Internacionais, Sports Movies"
"41"	"A StoryBots Space Adventure"	"David A. Vargas"	"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux"		"2021"	"TV-Y"	"13 min"	"Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space."	"Filmes familiares e infantis"
"42"	"King of Boys"	"Kemi Adetiba"	"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja"	"Nigeria"	"2018"	"TV-MA"	"182 min"	"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."	"Dramas, Filmes Internacionais"
"43"	"You vs. Wild: Out Cold"	"Ben Simms"	"Bear Grylls, Jason Derek Prempeh"		"2021"	"TV-G"	"106 min"	"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."	"Filmes familiares e infantis"
"44"	"Little Singham - Black Shadow"	"Prakash Satam"	"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey"		"2021"	"TV-Y7"	"48 min"	"Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?"	"Filmes familiares e infantis, Comedias"
"45"	"Tughlaq Durbar"	"Delhiprasad Deenadayalan"	"Vijay Sethupathi, Parthiban, Raashi Khanna"		"2020"	"TV-14"	"145 min"	"A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move."	"Comedias, Dramas, Filmes Internacionais"
"46"	"Tughlaq Durbar (Telugu)"	"Delhiprasad Deenadayalan"	"Vijay Sethupathi, Parthiban, Raashi Khanna"		"2021"	"TV-14"	"145 min"	"A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move."	"Comedias, Dramas, Filmes Internacionais"
"47"	"Firedrake the Silver Dragon"	"Tomer Eshed"	"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie"		"2021"	"TV-Y7"	"93 min"	"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."	"Filmes familiares e infantis"
"48"	"Kate"	"Cedric Nicolas-Troyan"	"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau"	"United States"	"2021"	"R"	"106 min"	"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."	"Ação e Aventura"
"49"	"Omo Ghetto: the Saga"	"JJC Skillz, Funke Akindele"	"Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs"	"Nigeria"	"2020"	"TV-MA"	"147 min"	"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."	"Ação e Aventura, Comedias, Dramas"
"50"	"Prey"	"Thomas Sieben"	"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach"		"2021"	"TV-MA"	"87 min"	"A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter."	"Filmes Internacionais, Thrillers"
"51"	"Blood Brothers: Malcolm X & Muhammad Ali"	"Marcus Clarke"	"Malcolm X, Muhammad Ali"		"2021"	"PG-13"	"96 min"	"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."	"Documentarios, Sports Movies"
"52"	"Paradise Hills"	"Alice Waddington"	"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath"	"Spain, United States"	"2019"	"TV-MA"	"95 min"	"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."	"Sci-Fi & Fantasia, Thrillers"
"53"	"The Women and the Murderer"	"Mona Achache, Patricia Tourancheau"		"France"	"2021"	"TV-14"	"92 min"	"This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother."	"Documentarios, Filmes Internacionais"
"54"	"JJ+E"	"Alexis Almström"	"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi"		"2021"	"TV-MA"	"91 min"	"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"	"Dramas, Filmes Internacionais, Romantic Movies"
"55"	"Show Dogs"	"Raja Gosnell"	"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale"	"United Kingdom, United States"	"2018"	"PG"	"90 min"	"A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale."	"Filmes familiares e infantis, Comedias"
"56"	"If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd"	"Stephen Kijak"	"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant"	"United States"	"2018"	"TV-MA"	"97 min"	"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."	"Documentarios, Musicais"
"57"	"Untold: Breaking Point"	"Chapman Way, Maclain Way"		"United States"	"2021"	"TV-MA"	"80 min"	"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."	"Documentarios, Sports Movies"
"58"	"Shadow Parties"	"Yemi Amodu"	"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas"		"2020"	"TV-MA"	"117 min"	"A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals."	"Dramas, Filmes Internacionais, Thrillers"
"59"	"Angamaly Diaries"	"Lijo Jose Pellissery"	"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese"	"India"	"2017"	"TV-14"	"128 min"	"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."	"Ação e Aventura, Comedias, Dramas"
"60"	"A Champion Heart"	"David de Vos"	"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido"	"United States"	"2018"	"G"	"90 min"	"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."	"Filmes familiares e infantis, Dramas"
"61"	"Worth"	"Sara Colangelo"	"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio"		"2021"	"PG-13"	"119 min"	"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."	"Dramas"
"62"	"Afterlife of the Party"	"Stephen Herek"	"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland"		"2021"	"TV-PG"	"110 min"	"Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings."	"Comedias, Romantic Movies"
"63"	"Anjaam"	"Rahul Rawail"	"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar"	"India"	"1994"	"TV-14"	"143 min"	"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."	"Dramas, Filmes Internacionais, Thrillers"
"64"	"Bright Star"	"Jane Campion"	"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin"	"United Kingdom, Australia, France"	"2009"	"PG"	"119 min"	"This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse."	"Dramas, Romantic Movies"
"65"	"Dhanak"	"Nagesh Kukunoor"	"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat"	"India"	"2015"	"TV-PG"	"114 min"	"A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation."	"Comedias, Dramas, Filmes Independentes"
"66"	"Final Account"	"Luke Holland"		"United Kingdom, United States"	"2021"	"PG-13"	"94 min"	"This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich."	"Documentarios"
"67"	"Gurgaon"	"Shanker Raman"	"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma"	"India"	"2017"	"TV-14"	"106 min"	"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."	"Dramas, Filmes Internacionais, Thrillers"
"68"	"Here and There"	"JP Habac"	"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon"		"2020"	"TV-MA"	"99 min"	"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."	"Dramas, Filmes Internacionais, Romantic Movies"
"69"	"In the Cut"	"Jane Campion"	"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer"	"United Kingdom, Australia, France, United States"	"2003"	"R"	"118 min"	"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."	"Thrillers"
